Frame_Index,Average_CrossEntropy_Loss
0.000000000000000000e+00,1.226319773388644840e+00
1.000000000000000000e+00,1.159438354751459288e+00
2.000000000000000000e+00,1.180620426345701857e+00
3.000000000000000000e+00,1.195132917491309232e+00
4.000000000000000000e+00,1.200920645020489008e+00
5.000000000000000000e+00,1.203839137823924377e+00
6.000000000000000000e+00,1.216642490832436696e+00
7.000000000000000000e+00,1.194007182547094592e+00
8.000000000000000000e+00,1.184058969285385121e+00
9.000000000000000000e+00,1.186079822464692013e+00
1.000000000000000000e+01,1.172428171607029501e+00
1.100000000000000000e+01,1.175082054352355021e+00
1.200000000000000000e+01,1.188974812014838456e+00
1.300000000000000000e+01,1.188343893011874597e+00
1.400000000000000000e+01,1.195622973224807373e+00
1.500000000000000000e+01,1.216051002120366320e+00
1.600000000000000000e+01,1.203143307807179818e+00
1.700000000000000000e+01,1.201378533552305727e+00
1.800000000000000000e+01,1.210510330846120031e+00
1.900000000000000000e+01,1.190720403085308687e+00
2.000000000000000000e+01,1.201401966972797997e+00
2.100000000000000000e+01,1.187373244074504397e+00
2.200000000000000000e+01,1.172617608918660848e+00
2.300000000000000000e+01,1.171979612681906424e+00
2.400000000000000000e+01,1.176171906241199272e+00
2.500000000000000000e+01,1.173310811066931247e+00
2.600000000000000000e+01,1.151912674528561498e+00
2.700000000000000000e+01,1.152484065801615110e+00
2.800000000000000000e+01,1.161069609961205229e+00
2.900000000000000000e+01,1.165864107052264398e+00
3.000000000000000000e+01,1.181381964921860650e+00
3.100000000000000000e+01,1.195683367717152557e+00
3.200000000000000000e+01,1.211892591477891967e+00
3.300000000000000000e+01,1.214388079808963905e+00
3.400000000000000000e+01,1.206290342736244581e+00
3.500000000000000000e+01,1.213240227899398560e+00
3.600000000000000000e+01,1.229705886540691795e+00
3.700000000000000000e+01,1.212166668615404674e+00
3.800000000000000000e+01,1.212501853603311641e+00
3.900000000000000000e+01,1.209152056671289222e+00
4.000000000000000000e+01,1.209851449335048512e+00
4.100000000000000000e+01,1.201412023714097943e+00
4.200000000000000000e+01,1.207127130182100050e+00
4.300000000000000000e+01,1.221395404983587563e+00
4.400000000000000000e+01,1.241196746139329843e+00
4.500000000000000000e+01,1.232168044157843090e+00
4.600000000000000000e+01,1.250176828957521025e+00
4.700000000000000000e+01,1.258267225298439485e+00
4.800000000000000000e+01,1.269235206190587606e+00
4.900000000000000000e+01,1.274373742293753109e+00
5.000000000000000000e+01,1.262658962699814147e+00
5.100000000000000000e+01,1.283900205739270106e+00
5.200000000000000000e+01,1.287426576916836707e+00
5.300000000000000000e+01,1.277371442077329666e+00
5.400000000000000000e+01,1.281052870149369083e+00
5.500000000000000000e+01,1.253303777897509130e+00
5.600000000000000000e+01,1.230305021007030097e+00
5.700000000000000000e+01,1.216288312921607773e+00
5.800000000000000000e+01,1.203180880969016986e+00
5.900000000000000000e+01,1.218274502963172745e+00
6.000000000000000000e+01,1.221011237445660980e+00
6.100000000000000000e+01,1.223764641533408470e+00
6.200000000000000000e+01,1.236711704786001897e+00
6.300000000000000000e+01,1.241385007366665683e+00
6.400000000000000000e+01,1.245674384897938580e+00
6.500000000000000000e+01,1.253607847296532629e+00
6.600000000000000000e+01,1.251179733406590611e+00
6.700000000000000000e+01,1.244031940523402380e+00
6.800000000000000000e+01,1.249601973072357319e+00
6.900000000000000000e+01,1.253109718621999491e+00
7.000000000000000000e+01,1.250613405680471413e+00
7.100000000000000000e+01,1.236634550013857581e+00
7.200000000000000000e+01,1.231805396770748073e+00
7.300000000000000000e+01,1.214201380771555705e+00
7.400000000000000000e+01,1.233852229457827132e+00
7.500000000000000000e+01,1.235671879388974048e+00
7.600000000000000000e+01,1.237418459585266417e+00
7.700000000000000000e+01,1.250148658069924146e+00
7.800000000000000000e+01,1.234313772629927142e+00
7.900000000000000000e+01,1.220041500663177736e+00
8.000000000000000000e+01,1.230937624201841496e+00
8.100000000000000000e+01,1.236099421485252758e+00
8.200000000000000000e+01,1.230461224077266102e+00
8.300000000000000000e+01,1.226211297299919956e+00
8.400000000000000000e+01,1.235332671914673330e+00
8.500000000000000000e+01,1.235261013359882476e+00
8.600000000000000000e+01,1.246948199700758098e+00
8.700000000000000000e+01,1.242500094766405105e+00
8.800000000000000000e+01,1.248323669632453781e+00
8.900000000000000000e+01,1.254125349077286122e+00
9.000000000000000000e+01,1.248831515434479345e+00
9.100000000000000000e+01,1.281202615730580918e+00
9.200000000000000000e+01,1.285660823439580547e+00
9.300000000000000000e+01,1.270084658917455478e+00
9.400000000000000000e+01,1.267605226489000092e+00
9.500000000000000000e+01,1.285481203921621463e+00
9.600000000000000000e+01,1.289626592333245725e+00
9.700000000000000000e+01,1.281574959476711184e+00
9.800000000000000000e+01,1.293149077973378525e+00
9.900000000000000000e+01,1.283669287757532196e+00
1.000000000000000000e+02,1.275865194593123864e+00
1.010000000000000000e+02,1.264543397797803781e+00
1.020000000000000000e+02,1.274972636671320991e+00
1.030000000000000000e+02,1.287657735027356143e+00
1.040000000000000000e+02,1.288932901860763591e+00
1.050000000000000000e+02,1.277730131251779033e+00
1.060000000000000000e+02,1.257587988732432605e+00
1.070000000000000000e+02,1.264415415168540280e+00
1.080000000000000000e+02,1.272376694620054760e+00
1.090000000000000000e+02,1.272992051236048638e+00
1.100000000000000000e+02,1.283399385701548878e+00
1.110000000000000000e+02,1.277147821039709807e+00
1.120000000000000000e+02,1.270010430095551035e+00
1.130000000000000000e+02,1.279414875126011486e+00
1.140000000000000000e+02,1.270067173130311255e+00
1.150000000000000000e+02,1.260430200592132399e+00
1.160000000000000000e+02,1.265271238011856925e+00
1.170000000000000000e+02,1.263002841816549759e+00
1.180000000000000000e+02,1.258175320256850638e+00
1.190000000000000000e+02,1.246233388070582482e+00
1.200000000000000000e+02,1.298291950111080117e+00
1.210000000000000000e+02,1.245379706628369609e+00
1.220000000000000000e+02,1.244489172330301097e+00
1.230000000000000000e+02,1.248780893641796563e+00
1.240000000000000000e+02,1.253080249806545643e+00
1.250000000000000000e+02,1.256530628552832152e+00
1.260000000000000000e+02,1.244321538799018079e+00
1.270000000000000000e+02,1.223149684076164423e+00
1.280000000000000000e+02,1.216842013767900577e+00
1.290000000000000000e+02,1.222587829480915378e+00
1.300000000000000000e+02,1.209931674953764746e+00
1.310000000000000000e+02,1.202504326179062222e+00
1.320000000000000000e+02,1.189056513381045344e+00
1.330000000000000000e+02,1.197980961957632706e+00
1.340000000000000000e+02,1.200675774817701713e+00
1.350000000000000000e+02,1.204241902743307779e+00
1.360000000000000000e+02,1.204661473358158874e+00
1.370000000000000000e+02,1.194369463258297515e+00
1.380000000000000000e+02,1.206659450543324352e+00
1.390000000000000000e+02,1.182677527814063323e+00
1.400000000000000000e+02,1.203773892367777210e+00
1.410000000000000000e+02,1.225277595307862954e+00
1.420000000000000000e+02,1.224278179800273314e+00
1.430000000000000000e+02,1.246160930863924987e+00
1.440000000000000000e+02,1.225783251637942994e+00
1.450000000000000000e+02,1.223085815157552991e+00
1.460000000000000000e+02,1.208492812751346568e+00
1.470000000000000000e+02,1.185103339896081520e+00
1.480000000000000000e+02,1.181659472421396240e+00
1.490000000000000000e+02,1.186644649541365393e+00
1.500000000000000000e+02,1.174969363482887275e+00
1.510000000000000000e+02,1.171536677417507111e+00
1.520000000000000000e+02,1.168504649022113595e+00
1.530000000000000000e+02,1.166363361973153712e+00
1.540000000000000000e+02,1.170474819508331654e+00
1.550000000000000000e+02,1.148297216110583774e+00
1.560000000000000000e+02,1.153086666583334585e+00
1.570000000000000000e+02,1.152014924583383504e+00
1.580000000000000000e+02,1.170253964787074885e+00
1.590000000000000000e+02,1.159843516869409452e+00
1.600000000000000000e+02,1.149620018159460466e+00
1.610000000000000000e+02,1.152894691801720883e+00
1.620000000000000000e+02,1.149795946601740226e+00
1.630000000000000000e+02,1.149309044371933597e+00
1.640000000000000000e+02,1.137175995193534073e+00
1.650000000000000000e+02,1.145778255373469001e+00
1.660000000000000000e+02,1.138586682700742037e+00
1.670000000000000000e+02,1.141047260220367399e+00
1.680000000000000000e+02,1.139713600021332818e+00
1.690000000000000000e+02,1.139443062268344464e+00
1.700000000000000000e+02,1.126073371098626152e+00
1.710000000000000000e+02,1.137540314665661967e+00
1.720000000000000000e+02,1.141506456187926233e+00
1.730000000000000000e+02,1.129083637141949481e+00
1.740000000000000000e+02,1.150098392007135928e+00
1.750000000000000000e+02,1.138686824247120422e+00
1.760000000000000000e+02,1.138651073920822876e+00
1.770000000000000000e+02,1.145163212037985545e+00
1.780000000000000000e+02,1.139161629220454275e+00
1.790000000000000000e+02,1.143276983800844526e+00
1.800000000000000000e+02,1.204350266874469888e+00
1.810000000000000000e+02,1.202556141092795405e+00
1.820000000000000000e+02,1.189450779869072550e+00
1.830000000000000000e+02,1.210857712757626770e+00
1.840000000000000000e+02,1.183898515515078964e+00
1.850000000000000000e+02,1.186650431333712508e+00
1.860000000000000000e+02,1.194030969602869918e+00
1.870000000000000000e+02,1.180687322867299383e+00
1.880000000000000000e+02,1.181164501559778701e+00
1.890000000000000000e+02,1.202013553429811088e+00
1.900000000000000000e+02,1.205789329708060187e+00
1.910000000000000000e+02,1.220177081462073376e+00
1.920000000000000000e+02,1.230729859885396404e+00
1.930000000000000000e+02,1.221635896069367622e+00
1.940000000000000000e+02,1.233729421058735731e+00
1.950000000000000000e+02,1.232855697758561853e+00
1.960000000000000000e+02,1.199580729773708887e+00
1.970000000000000000e+02,1.198651332514490964e+00
1.980000000000000000e+02,1.186176595033694658e+00
1.990000000000000000e+02,1.167287880769255493e+00
2.000000000000000000e+02,1.161232385388080157e+00
2.010000000000000000e+02,1.146118918734112091e+00
2.020000000000000000e+02,1.145910129084000806e+00
2.030000000000000000e+02,1.145294257261334492e+00
2.040000000000000000e+02,1.158985993304952000e+00
2.050000000000000000e+02,1.147126771525334599e+00
2.060000000000000000e+02,1.150797556027694180e+00
2.070000000000000000e+02,1.152096910528295437e+00
2.080000000000000000e+02,1.150333925601547458e+00
2.090000000000000000e+02,1.151154168405700506e+00
2.100000000000000000e+02,1.180991962978859000e+00
2.110000000000000000e+02,1.216542791048582872e+00
2.120000000000000000e+02,1.215256345060154564e+00
2.130000000000000000e+02,1.213768350815424002e+00
2.140000000000000000e+02,1.216577531390045541e+00
2.150000000000000000e+02,1.206737381571050038e+00
2.160000000000000000e+02,1.227936097745534028e+00
2.170000000000000000e+02,1.215257764775373506e+00
2.180000000000000000e+02,1.211066850984512833e+00
2.190000000000000000e+02,1.195329337427013083e+00
2.200000000000000000e+02,1.185576397190216458e+00
2.210000000000000000e+02,1.187458937293622174e+00
2.220000000000000000e+02,1.170783332034657009e+00
2.230000000000000000e+02,1.195103736901385938e+00
2.240000000000000000e+02,1.203732407442631436e+00
2.250000000000000000e+02,1.201256916990066648e+00
2.260000000000000000e+02,1.200593895643301545e+00
